State_Name,District_Name,Crop_Year,Season,Crop,Area,Production
Andhra Pradesh,ANANTAPUR,1997,Kharif     ,Rice,35600,75400
Andhra Pradesh,ANANTAPUR,1997,Rabi       ,Rice,18000,37300
Andhra Pradesh,ANANTAPUR,1997,Rabi       ,Wheat,300,200
Andhra Pradesh,CHITTOOR,1997,Kharif     ,Rice,42300,84400
Andhra Pradesh,CHITTOOR,1997,Rabi       ,Rice,57400,137400
Andhra Pradesh,EAST GODAVARI,1997,Kharif     ,Rice,214100,429300
Andhra Pradesh,EAST GODAVARI,1997,Rabi       ,Rice,154400,491500
Andhra Pradesh,GUNTUR,1997,Kharif     ,Rice,295000,845300
Andhra Pradesh,GUNTUR,1997,Rabi       ,Rice,14500,51800
Andhra Pradesh,KADAPA,1997,Kharif     ,Rice,47700,77500
Andhra Pradesh,KADAPA,1997,Rabi       ,Rice,13000,27700
Andhra Pradesh,KRISHNA,1997,Kharif     ,Rice,257900,699400
Andhra Pradesh,KRISHNA,1997,Rabi       ,Rice,116300,393500
Andhra Pradesh,KURNOOL,1997,Kharif     ,Rice,66300,176900
Andhra Pradesh,KURNOOL,1997,Rabi       ,Rice,9000,23900
Andhra Pradesh,KURNOOL,1997,Rabi       ,Wheat,600,300
Andhra Pradesh,PRAKASAM,1997,Kharif     ,Rice,62000,124300
Andhra Pradesh,PRAKASAM,1997,Rabi       ,Rice,74200,222100
Andhra Pradesh,SPSR NELLORE,1997,Kharif     ,Rice,48700,127600
Andhra Pradesh,SPSR NELLORE,1997,Rabi       ,Rice,182100,544600
Andhra Pradesh,SRIKAKULAM,1997,Kharif     ,Rice,185700,278500
Andhra Pradesh,SRIKAKULAM,1997,Rabi       ,Rice,600,2100
Andhra Pradesh,VISAKHAPATANAM,1997,Kharif     ,Rice,95600,79700
Andhra Pradesh,VISAKHAPATANAM,1997,Rabi       ,Rice,2700,8700
Andhra Pradesh,VIZIANAGARAM,1997,Kharif     ,Rice,130500,185600
Andhra Pradesh,VIZIANAGARAM,1997,Rabi       ,Rice,1000,3200
Andhra Pradesh,WEST GODAVARI,1997,Kharif     ,Rice,247200,630400
Andhra Pradesh,WEST GODAVARI,1997,Rabi       ,Rice,193600,678100
Arunachal Pradesh,CHANGLANG,1997,Kharif     ,Rice,11500,13800
Arunachal Pradesh,CHANGLANG,1997,Rabi       ,Wheat,240,260
Arunachal Pradesh,DIBANG VALLEY,1997,Kharif     ,Rice,10310,12400
Arunachal Pradesh,DIBANG VALLEY,1997,Rabi       ,Wheat,196,294
Arunachal Pradesh,EAST KAMENG,1997,Kharif     ,Rice,8945,9200
Arunachal Pradesh,EAST KAMENG,1997,Rabi       ,Wheat,19,81
Arunachal Pradesh,EAST SIANG,1997,Kharif     ,Rice,10200,15525
Arunachal Pradesh,EAST SIANG,1997,Rabi       ,Wheat,447,670
Arunachal Pradesh,LOHIT,1997,Kharif     ,Rice,15070,19600
Arunachal Pradesh,LOHIT,1997,Rabi       ,Wheat,250,300
Arunachal Pradesh,LOWER SUBANSIRI,1997,Kharif     ,Rice,21064,19900
Arunachal Pradesh,LOWER SUBANSIRI,1997,Rabi       ,Wheat,33,56
Arunachal Pradesh,PAPUM PARE,1997,Kharif     ,Rice,6938,8400
Arunachal Pradesh,PAPUM PARE,1997,Rabi       ,Wheat,95,103
Arunachal Pradesh,TAWANG,1997,Kharif     ,Rice,868,1050
Arunachal Pradesh,TAWANG,1997,Rabi       ,Wheat,1695,2712
Arunachal Pradesh,TIRAP,1997,Kharif     ,Rice,5345,3700
Arunachal Pradesh,TIRAP,1997,Rabi       ,Wheat,15,15
Arunachal Pradesh,UPPER SIANG,1997,Kharif     ,Rice,6200,5800
Arunachal Pradesh,UPPER SUBANSIRI,1997,Kharif     ,Rice,3915,2750
Arunachal Pradesh,UPPER SUBANSIRI,1997,Rabi       ,Wheat,60,120
Arunachal Pradesh,WEST KAMENG,1997,Kharif     ,Rice,915,880
Arunachal Pradesh,WEST KAMENG,1997,Rabi       ,Wheat,670,799
Arunachal Pradesh,WEST SIANG,1997,Kharif     ,Rice,18750,16500
Arunachal Pradesh,WEST SIANG,1997,Rabi       ,Wheat,65,65
Assam,BARPETA,1997,Autumn     ,Rice,83560,43512
Assam,BARPETA,1997,Rabi       ,Wheat,12675,15645
Assam,BARPETA,1997,Summer     ,Rice,8850,12831
Assam,BARPETA,1997,Winter     ,Rice,103015,76589
Assam,BONGAIGAON,1997,Autumn     ,Rice,29514,14056
Assam,BONGAIGAON,1997,Rabi       ,Wheat,5397,6458
Assam,BONGAIGAON,1997,Summer     ,Rice,6366,5462
Assam,BONGAIGAON,1997,Winter     ,Rice,56841,38596
Assam,CACHAR,1997,Autumn     ,Rice,8278,7956
Assam,CACHAR,1997,Rabi       ,Wheat,35,45
Assam,CACHAR,1997,Summer     ,Rice,7200,7843
Assam,CACHAR,1997,Winter     ,Rice,88000,94250
Assam,DARRANG,1997,Autumn     ,Rice,68782,40252
Assam,DARRANG,1997,Rabi       ,Wheat,3665,4021
Assam,DARRANG,1997,Summer     ,Rice,7767,8937
Assam,DARRANG,1997,Winter     ,Rice,93133,70404
Assam,DHEMAJI,1997,Autumn     ,Rice,12750,7036
Assam,DHEMAJI,1997,Rabi       ,Wheat,3500,4463
Assam,DHEMAJI,1997,Summer     ,Rice,4525,3012
Assam,DHEMAJI,1997,Winter     ,Rice,44725,38042
Assam,DHUBRI,1997,Autumn     ,Rice,62078,25030
Assam,DHUBRI,1997,Rabi       ,Wheat,18270,25101
Assam,DHUBRI,1997,Summer     ,Rice,21085,15466
Assam,DHUBRI,1997,Winter     ,Rice,54249,34696
Assam,DIBRUGARH,1997,Autumn     ,Rice,10448,13674
Assam,DIBRUGARH,1997,Rabi       ,Wheat,887,1040
Assam,DIBRUGARH,1997,Summer     ,Rice,314,376
Assam,DIBRUGARH,1997,Winter     ,Rice,77456,88908
Assam,DIMA HASAO,1997,Autumn     ,Rice,5984,5393
Assam,DIMA HASAO,1997,Rabi       ,Wheat,56,73
Assam,DIMA HASAO,1997,Summer     ,Rice,52,62
Assam,DIMA HASAO,1997,Winter     ,Rice,8117,10606
Assam,GOALPARA,1997,Autumn     ,Rice,22550,17189
Assam,GOALPARA,1997,Rabi       ,Wheat,4720,7722
Assam,GOALPARA,1997,Summer     ,Rice,7416,9225
Assam,GOALPARA,1997,Winter     ,Rice,41750,32789
Assam,GOLAGHAT,1997,Autumn     ,Rice,4427,3110
Assam,GOLAGHAT,1997,Rabi       ,Wheat,759,687
Assam,GOLAGHAT,1997,Summer     ,Rice,103,89
Assam,GOLAGHAT,1997,Winter     ,Rice,77675,100960
Assam,HAILAKANDI,1997,Autumn     ,Rice,6500,8907
Assam,HAILAKANDI,1997,Summer     ,Rice,750,866
Assam,HAILAKANDI,1997,Winter     ,Rice,35500,35504
Assam,JORHAT,1997,Autumn     ,Rice,5370,4670
Assam,JORHAT,1997,Rabi       ,Wheat,2100,2540
Assam,JORHAT,1997,Summer     ,Rice,9560,11452
Assam,JORHAT,1997,Winter     ,Rice,84250,85639
Assam,KAMRUP,1997,Autumn     ,Rice,52303,38310
Assam,KAMRUP,1997,Rabi       ,Wheat,6442,7614
Assam,KAMRUP,1997,Summer     ,Rice,20849,27883
Assam,KAMRUP,1997,Winter     ,Rice,104645,108106
Assam,KARBI ANGLONG,1997,Autumn     ,Rice,10354,7833
Assam,KARBI ANGLONG,1997,Rabi       ,Wheat,1797,2706
Assam,KARBI ANGLONG,1997,Summer     ,Rice,160,192
Assam,KARBI ANGLONG,1997,Winter     ,Rice,110191,110704
Assam,KARIMGANJ,1997,Autumn     ,Rice,7332,8936
Assam,KARIMGANJ,1997,Summer     ,Rice,4552,2983
Assam,KARIMGANJ,1997,Winter     ,Rice,61520,71060
Assam,KOKRAJHAR,1997,Autumn     ,Rice,31005,16292
Assam,KOKRAJHAR,1997,Rabi       ,Wheat,1545,2234
Assam,KOKRAJHAR,1997,Summer     ,Rice,3730,3120
Assam,KOKRAJHAR,1997,Winter     ,Rice,57430,44832
Assam,LAKHIMPUR,1997,Autumn     ,Rice,18325,11793
Assam,LAKHIMPUR,1997,Rabi       ,Wheat,880,751
Assam,LAKHIMPUR,1997,Summer     ,Rice,3820,2121
Assam,LAKHIMPUR,1997,Winter     ,Rice,85239,74456
Assam,MARIGAON,1997,Autumn     ,Rice,27010,14050
Assam,MARIGAON,1997,Rabi       ,Wheat,8000,12288
Assam,MARIGAON,1997,Summer     ,Rice,32500,48230
Assam,MARIGAON,1997,Winter     ,Rice,38500,30515
Assam,NAGAON,1997,Autumn     ,Rice,57555,54868
Assam,NAGAON,1997,Rabi       ,Wheat,5764,5661
Assam,NAGAON,1997,Summer     ,Rice,28013,43668
Assam,NAGAON,1997,Winter     ,Rice,142724,136887
Assam,NALBARI,1997,Autumn     ,Rice,41500,24528
Assam,NALBARI,1997,Rabi       ,Wheat,4000,6392
Assam,NALBARI,1997,Summer     ,Rice,1280,1009
Assam,NALBARI,1997,Winter     ,Rice,105000,88738
